year;d_conc_min;d_conc_max;d_conc_asc;d_conc_desc;d_disp_min;d_disp_max;d_disp_asc;d_disp_desc;k_conc_min;k_conc_max;k_conc_asc;k_conc_desc;k_disp_min;k_disp_max;k_disp_asc;k_disp_desc;events;target
24.05.2004;0.785985401;1.09477562;1.253585398;1.02919708;1.181423925;0.834116372;0.842335766;1.11654915;;;;;;;;;52;1
25.05.2004;0.825766871;1.065514993;1.189975248;1.02919708;1.205383481;0.868960723;0.769;1.11654915;;;;;;;;;52;1
26.05.2004;0.825766871;1.065514993;1.189975248;1.02919708;1.205383481;0.868960723;0.769;1.11654915;;;;;;;;;52;1
27.05.2004;0.834854015;1.022490222;1.213490099;1.064134188;1.18107725;0.867625369;0.7845;1.113138686;;;;;;;;;51;1
28.05.2004;0.84202454;1.013242894;1.213490099;1.064134188;1.16988417;0.876350093;0.7845;1.113138686;;;;;;;;;51;1
29.05.2004;0.828054299;1.160473528;1.004481434;1.036023055;1.111622962;1.06288399;0.7845;0.975943592;;;;;;;;;51;1
30.05.2004;0.950384944;1.012741047;1.004481434;1.064134188;1.101088101;1.073357664;0.7845;0.975943592;;;;;;;;;51;1
31.05.2004;0.950384944;1.012741047;1.004481434;1.064134188;1.090371915;1.084439528;0.7845;0.975943592;;;;;;;;;51;1
01.06.2004;0.908308605;1.025117214;1.010519802;1.107548101;1.203908555;0.931203931;0.805624075;1.015761095;;;;;;;;;49;1
02.06.2004;0.87283064;1.036828135;1.031559406;1.130735076;1.228982301;0.877500878;0.822397632;1.036914144;;;;;;;;;48;1
03.06.2004;0.879939668;1.027622493;1.031559406;1.130735076;1.228982301;0.877500878;0.822397632;1.036914144;;;;;;;;;48;1
04.06.2004;0.88716545;1.018578879;1.031559406;1.130735076;1.204553668;0.877500878;0.822397632;1.061120543;;;;;;;;;48;1
05.06.2004;0.894785276;1.009366925;1.031559406;1.130735076;1.216423358;0.868960723;0.822397632;1.061120543;;;;;;;;;48;1
06.06.2004;0.88369935;1.100920343;0.899307741;1.107548101;1.161754856;0.931178707;0.805624075;1.039473684;;;;;;;;;49;1
07.06.2004;0.935068821;1.056100034;0.917558213;1.086255924;1.152286136;0.994884038;0.729;1.061120543;;;;;;;;;48;1
08.06.2004;0.905272306;1.076101928;0.917558213;1.115328467;1.152286136;0.994884038;0.729;1.061120543;;;;;;;;;48;1
09.06.2004;0.905272306;1.076101928;0.917558213;1.115328467;1.216423358;0.932506887;0.729;1.061120543;;;;;;;;;48;1
10.06.2004;0.905272306;1.076101928;0.917558213;1.115328467;1.216423358;0.932506887;0.729;1.061120543;;;;;;;;;48;1
11.06.2004;0.912408759;1.056100034;0.917558213;1.130735076;1.18107725;0.968872987;0.729;1.048657718;;;;;;;;;48;1
12.06.2004;0.958588957;1.018578879;0.886861314;1.130735076;1.16988417;0.978677268;0.729;1.048657718;;;;;;;;;48;1
13.06.2004;0.9214352;1.030684755;0.905717762;1.154415392;1.230213227;0.904677534;0.734583128;1.070889262;;;;;;;;;47;1
14.06.2004;0.913803681;1.030684755;0.921410891;1.154415392;1.230213227;0.904677534;0.734583128;1.070889262;;;;;;;;;47;1
15.06.2004;0.9214352;1.021773935;0.921410891;1.154415392;1.230213227;0.904677534;0.734583128;1.070889262;;;;;;;;;47;1
16.06.2004;0.913803681;1.021773935;0.937067338;1.154415392;1.230213227;0.904677534;0.734583128;1.070889262;;;;;;;;;47;1
17.06.2004;0.913803681;1.021773935;0.937067338;1.154415392;1.206236712;0.904677534;0.734583128;1.096178617;;;;;;;;;47;1
18.06.2004;0.9214352;1.012694383;0.937067338;1.154415392;1.217889088;0.896103896;0.734583128;1.096178617;;;;;;;;;47;1
19.06.2004;0.898642534;1.078404867;0.937067338;1.094992981;1.230213227;0.88738269;0.734583128;1.096178617;;;;;;;;;47;1
20.06.2004;0.898642534;1.078404867;0.937067338;1.094992981;1.206236712;0.904677534;0.77632951;1.047169811;;;;;;;;;47;1
21.06.2004;0.898642534;1.078404867;0.937067338;1.094992981;1.194805195;0.913416816;0.77632951;1.047169811;;;;;;;;;47;1
22.06.2004;0.937382001;1.040091265;0.921410891;1.094992981;1.18317692;0.92265992;0.77632951;1.047169811;;;;;;;;;47;1
23.06.2004;0.95389049;1.021773935;0.921410891;1.094992981;1.194805195;0.92265992;0.77632951;1.035279805;;;;;;;;;47;1
24.06.2004;1.018720749;1.025117214;0.884282178;1.024178832;1.276677094;0.89379562;0.745046924;0.993106245;;;;;;;;;49;1
25.06.2004;1.009897928;1.034471105;0.884282178;1.024178832;1.264807163;0.903023599;0.745046924;0.993106245;;;;;;;;;49;1
26.06.2004;0.955070203;1.07365998;0.884282178;1.050538138;1.275238408;0.853612167;0.745046924;1.015761095;;;;;;;;;49;1
27.06.2004;0.946798639;1.083278036;0.884282178;1.050538138;1.275238408;0.853612167;0.745046924;1.015761095;;;;;;;;;49;1
28.06.2004;0.958588957;1.046550569;0.902227723;1.072531586;1.233146991;0.87148289;0.76016684;1.036914144;;;;;;;;;48;1
29.06.2004;0.950425791;1.056100034;0.902227723;1.072531586;1.233146991;0.87148289;0.76016684;1.036914144;;;;;;;;;48;1
30.06.2004;0.973138686;1.023868024;0.902227723;1.086255924;1.233146991;0.87148289;0.76016684;1.036914144;;;;;;;;;48;1
01.07.2004;0.910140406;0.976892163;1.103590347;1.086255924;1.129382002;0.868960723;0.964010283;1.036914144;;;;;;;;;48;1
02.07.2004;0.870358716;0.988387525;1.127133608;1.109004739;1.12004212;0.854014599;0.984575835;1.035279805;;;;;;;;;47;1
03.07.2004;0.877816566;0.97961197;1.127133608;1.109004739;1.109141467;0.862831858;0.984575835;1.035279805;;;;;;;;;47;1
04.07.2004;0.991748651;1.018578879;0.872531418;1.086255924;1.147727273;0.853631285;0.964010283;1.01378751;;;;;;;;;48;1
05.07.2004;0.95389049;1.021773935;0.905717762;1.109004739;1.089977586;0.817518248;0.984575835;1.096178617;;;;;;;;;47;1
06.07.2004;0.945414154;1.040091265;0.891083184;1.109004739;1.089977586;0.817518248;0.984575835;1.096178617;;;;;;;;;47;1
07.07.2004;0.95389049;1.021773935;0.905717762;1.109004739;1.089977586;0.817518248;0.984575835;1.096178617;;;;;;;;;47;1
08.07.2004;0.937382001;1.030684755;0.905717762;1.123919308;1.089977586;0.817518248;0.984575835;1.096178617;;;;;;;;;47;1
09.07.2004;0.945414154;1.021773935;0.905717762;1.123919308;1.089977586;0.817518248;0.984575835;1.096178617;;;;;;;;;47;1
10.07.2004;0.95389049;1.012694383;0.905717762;1.123919308;1.098829201;0.784660767;1.035523114;1.096178617;;;;;;;;;47;1
11.07.2004;0.929485179;1.089977586;0.817541613;1.109004739;1.109141467;0.776642336;1.035523114;1.096178617;;;;;;;;;47;1
12.07.2004;0.9214352;1.099483204;0.817541613;1.109004739;1.12004212;0.769063968;1.035523114;1.096178617;;;;;;;;;47;1
13.07.2004;0.913803681;1.109517601;0.817541613;1.109004739;1.130758327;0.761359571;1.035523114;1.096178617;;;;;;;;;47;1
14.07.2004;0.925486618;1.072344623;0.834827145;1.133175355;1.057698992;0.809683426;1.057907543;1.094379195;;;;;;;;;46;1
15.07.2004;0.917948718;1.081950896;0.834827145;1.133175355;1.068094068;0.864112757;0.9785;1.094379195;;;;;;;;;46;1
16.07.2004;0.910532615;1.09209645;0.834827145;1.133175355;1.057698992;0.872627737;0.9785;1.094379195;;;;;;;;;46;1
17.07.2004;0.949453978;1.04418828;0.834827145;1.133175355;1.072344623;0.82661597;0.9785;1.120223272;;;;;;;;;46;1
18.07.2004;0.962264151;1.004844961;0.853393086;1.158293839;1.023018744;0.84486692;1;1.145126664;;;;;;;;;45;1
19.07.2004;0.954294479;1.014015645;0.853393086;1.158293839;1.023018744;0.84486692;1;1.145126664;;;;;;;;;45;1
20.07.2004;1.000306748;0.991851369;0.834827145;1.133175355;1.15556343;0.77037562;0.991890522;1.094379195;;;;;;;;;46;1
21.07.2004;0.959964675;1.019089082;0.834827145;1.16350365;1.144612145;0.777817531;0.991890522;1.094379195;;;;;;;;;46;1
22.07.2004;0.965725167;1.026117055;0.806930693;1.16350365;1.133472367;0.785688471;0.991890522;1.094379195;;;;;;;;;46;1
23.07.2004;0.974383606;1.017472699;0.806930693;1.16350365;1.122933884;0.793430657;0.991890522;1.094379195;;;;;;;;;46;1
24.07.2004;0.982881137;1.008660687;0.806930693;1.16350365;1.112210095;0.801622419;0.991890522;1.094379195;;;;;;;;;46;1
25.07.2004;1.021773935;1.030684755;0.764213046;1.109004739;1.150388645;0.79255121;0.970603142;1.070889262;;;;;;;;;47;1
