Date;Class;lat;long
03.05.1967;9.000;43.200;46.300
05.05.1967;9.000;42.300;45.500
12.05.1967;9.000;42.700;46.300
20.05.1967;9.000;41.500;46.200
25.05.1967;9.000;41.400;46.500
25.05.1967;9.500;41.400;46.500
01.06.1967;8.700;43.480;45.630
02.06.1967;12.100;43.500;47.500
18.06.1967;10.000;42.600;46.100
19.06.1967;10.000;41.900;48.000
03.07.1967;10.000;43.300;47.800
23.07.1967;9.200;41.950;45.720
07.08.1967;7.700;41.900;45.520
09.08.1967;8.000;42.830;45.870
14.08.1967;7.800;42.830;45.880
16.08.1967;8.500;42.420;45.600
17.10.1967;10.000;42.000;46.000
20.10.1967;10.000;43.100;45.500
20.10.1967;10.000;42.900;45.600
01.11.1967;9.000;42.900;45.700
02.11.1967;8.900;42.930;45.730
12.11.1967;9.000;42.800;45.700
20.11.1967;8.600;41.900;46.100
17.12.1967;9.000;41.300;46.000
18.01.1968;9.400;41.000;45.800
23.01.1968;9.000;41.800;45.800
25.01.1968;8.200;41.920;45.820
22.02.1968;9.000;41.900;45.500
26.02.1968;10.000;41.800;46.400
26.02.1968;9.000;41.700;46.300
10.03.1968;9.300;41.050;48.400
27.03.1968;9.000;41.400;46.600
28.03.1968;7.500;42.300;45.900
11.04.1968;8.600;41.230;46.070
16.04.1968;9.000;43.000;45.900
17.04.1968;8.700;42.900;45.750
22.04.1968;8.400;42.100;45.970
22.04.1968;9.000;42.100;46.000
23.04.1968;10.000;41.200;47.100
24.04.1968;9.000;41.200;47.000
25.04.1968;9.000;41.500;46.600
29.04.1968;9.000;41.700;46.500
09.05.1968;7.700;42.930;45.870
09.05.1968;10.000;42.700;46.100
11.05.1968;10.100;41.050;47.570
11.05.1968;9.000;42.300;45.500
12.05.1968;8.600;41.000;45.700
14.05.1968;8.200;41.170;45.620
17.05.1968;8.000;42.200;45.550
18.05.1968;9.000;41.800;46.500
21.05.1968;8.700;42.930;45.730
22.05.1968;11.000;41.800;45.900
23.05.1968;8.400;41.750;45.880
27.05.1968;9.000;43.100;45.600
03.06.1968;7.800;41.130;46.150
08.06.1968;7.800;41.130;46.420
11.06.1968;8.400;42.730;45.670
11.06.1968;9.000;42.800;45.700
12.06.1968;10.000;42.600;46.500
16.06.1968;10.000;42.000;45.800
16.06.1968;10.000;42.000;45.800
16.06.1968;9.000;42.900;46.300
17.06.1968;7.500;42.970;46.120
20.06.1968;9.700;43.200;46.200
21.06.1968;9.400;43.200;46.300
22.06.1968;11.600;41.800;45.900
22.06.1968;8.100;41.170;45.870
26.06.1968;10.000;42.400;45.700
11.07.1968;9.000;42.600;45.600
12.07.1968;8.500;42.800;46.000
17.07.1968;9.000;42.700;46.200
19.07.1968;7.500;41.070;48.330
25.07.1968;9.800;41.000;47.300
04.08.1968;9.000;42.100;46.000
04.08.1968;8.400;42.030;45.970
15.08.1968;8.400;41.670;46.330
30.08.1968;11.000;41.100;48.300
30.08.1968;12.000;41.400;48.000
30.08.1968;10.000;41.900;46.100
30.08.1968;10.000;42.000;45.900
30.08.1968;9.000;42.000;46.000
30.08.1968;9.000;41.800;46.100
30.08.1968;9.000;41.900;46.000
30.08.1968;10.000;41.900;46.000
30.08.1968;9.000;41.900;46.000
14.09.1968;9.000;42.100;46.000
21.09.1968;10.000;42.500;47.800
21.09.1968;9.000;43.000;45.500
28.09.1968;9.000;41.100;45.900
29.09.1968;8.300;42.500;47.820
04.10.1968;10.000;41.900;46.100
04.10.1968;9.000;41.800;46.000
04.10.1968;9.000;41.800;46.000
05.10.1968;7.700;41.920;46.070
05.10.1968;7.900;41.920;46.070
05.10.1968;7.900;41.930;46.100
05.10.1968;7.400;41.920;46.100
05.10.1968;7.800;42.530;45.930
10.10.1968;9.000;43.000;46.300
22.10.1968;10.480;43.300;45.600
24.10.1968;8.000;41.030;47.150
31.10.1968;8.300;43.330;45.570
07.11.1968;9.000;41.300;45.800
07.11.1968;10.000;42.000;46.000
07.11.1968;9.000;42.000;46.000
07.11.1968;8.100;42.080;46.030
03.12.1968;10.000;41.800;46.170
05.12.1968;10.000;43.400;45.700
13.12.1968;7.900;41.170;45.970
19.12.1968;8.200;41.670;46.230
26.12.1968;7.700;41.970;46.370
28.12.1968;7.600;42.670;46.030
02.01.1969;8.400;42.470;45.600
09.01.1969;8.300;41.820;46.500
11.01.1969;9.000;43.100;45.900
11.01.1969;10.000;43.050;45.750
14.01.1969;8.300;42.100;45.850
16.01.1969;8.000;43.000;45.600
17.01.1969;10.000;43.100;45.900
17.01.1969;9.000;43.050;45.750
05.02.1969;6.000;41.600;46.170
07.02.1969;7.800;42.370;47.720
08.02.1969;10.000;42.000;48.700
15.02.1969;8.300;42.030;48.270
26.02.1969;7.700;41.920;45.530
27.02.1969;7.300;41.780;46.380
28.02.1969;10.500;42.000;48.720
01.03.1969;10.000;41.700;46.200
15.03.1969;8.300;43.330;46.000
15.03.1969;8.200;43.030;45.900
11.04.1969;9.000;41.800;46.100
11.04.1969;8.300;42.000;45.830
12.04.1969;9.000;42.700;47.900
15.04.1969;9.000;43.100;45.900
